,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
2486,europadagen,28,10,3,1,28,10,3,41,Venstre
2487,understøtte,26,2,2,1,26,2,2,30,Venstre
2488,lønningspose,26,2,2,1,26,2,2,30,Venstre
2489,eupol,26,2,2,1,26,2,2,30,Venstre
2490,havmøllepark,23,6,5,1,23,6,5,34,Venstre
2491,the,20,4,3,1,20,4,3,27,Venstre
2492,cleantech,20,4,3,1,20,4,3,27,Venstre
2493,innovation,20,4,3,1,20,4,3,27,Venstre
2494,potentiale,20,4,3,1,20,4,3,27,Venstre
2495,skabelse,20,4,3,1,20,4,3,27,Venstre
2496,førerposition,138,29,34,3,46,10,11,67,Venstre
2497,takt,41,5,6,1,41,5,6,52,Venstre
2498,udnævnelse,56,7,2,1,56,7,2,65,Venstre
2499,esben,56,7,2,1,56,7,2,65,Venstre
2500,lunde,56,7,2,1,56,7,2,65,Venstre
2501,energisystem,9,1,3,1,9,1,3,13,Venstre
2502,world,9,1,3,1,9,1,3,13,Venstre
2503,energy,9,1,3,1,9,1,3,13,Venstre
2504,council,9,1,3,1,9,1,3,13,Venstre
2505,forsyningssikkerhed,9,1,3,1,9,1,3,13,Venstre
2506,mængde,9,1,3,1,9,1,3,13,Venstre
2507,vedvare,9,1,3,1,9,1,3,13,Venstre
2508,fornuftig,9,1,3,1,9,1,3,13,Venstre
2509,energipris,9,1,3,1,9,1,3,13,Venstre
2510,rekordmange,57,15,3,1,57,15,3,75,Venstre
2511,europamesterskab,29,7,5,1,29,7,5,41,Venstre
2512,energiudstyr,29,7,5,1,29,7,5,41,Venstre
2513,vareeksport,29,7,5,1,29,7,5,41,Venstre
2514,energiteknologi,29,7,5,1,29,7,5,41,Venstre
2515,service,29,7,5,1,29,7,5,41,Venstre
2516,energiudspil,21,8,8,1,21,8,8,37,Venstre
2517,verdensrekord,116,40,34,2,58,20,17,95,Venstre
2518,klimaområde,56,19,22,1,56,19,22,97,Venstre
2519,takket,56,19,22,1,56,19,22,97,Venstre
2520,energisektor,56,19,22,1,56,19,22,97,Venstre
2521,klima-nationer,60,21,12,1,60,21,12,93,Venstre
2522,vindkraft,60,21,12,1,60,21,12,93,Venstre
2523,energiarbejdspladser,7,5,1,1,7,5,1,13,Venstre
2524,kurven,19,5,2,1,19,5,2,26,Venstre
2525,knæk,19,5,2,1,19,5,2,26,Venstre
2526,diagnose,19,5,2,1,19,5,2,26,Venstre
2527,frygtelig,19,5,2,1,19,5,2,26,Venstre
2528,håb,19,3,9,1,19,3,9,31,Venstre
2529,overenskomstforhandling,19,3,9,1,19,3,9,31,Venstre
2530,konflikt,19,3,9,1,19,3,9,31,Venstre
2531,ok18,19,3,9,1,19,3,9,31,Venstre
2532,hey,44,2,3,1,44,2,3,49,Venstre
2533,medierne,12,4,3,1,12,4,3,19,Venstre
2534,mangfoldig,12,4,3,1,12,4,3,19,Venstre
2535,medieudbud,12,4,3,1,12,4,3,19,Venstre
2536,kvalitetsindhold,12,4,3,1,12,4,3,19,Venstre
2537,medieudspillet,12,4,3,1,12,4,3,19,Venstre
2538,skulderklap,1,0,0,1,1,0,0,1,Venstre
2539,kræftpakkerne,87,20,17,1,87,20,17,124,Venstre
2540,procent,87,20,17,1,87,20,17,124,Venstre
2541,skatteaftalen,30,6,10,1,30,6,10,46,Venstre
2542,februar,30,6,10,1,30,6,10,46,Venstre
2543,hvadvils,30,6,10,1,30,6,10,46,Venstre
2544,møg,18,1,13,1,18,1,13,32,Venstre
2545,økonomien,43,11,23,1,43,11,23,77,Venstre
2546,ledigheden,77,22,40,2,38,11,20,70,Venstre
2547,spørgetime,43,11,23,1,43,11,23,77,Venstre
2548,søge,19,3,1,1,19,3,1,23,Venstre
2549,håndværksfag,19,3,1,1,19,3,1,23,Venstre
2550,tilbagegang,19,3,1,1,19,3,1,23,Venstre
2551,søndagsquiz,9,2,7,1,9,2,7,18,Venstre
2552,️der,78,22,23,1,78,22,23,123,Venstre
2553,arbejdendefælleskab,118,26,30,3,39,9,10,58,Venstre
